leader,client,version,name,www_url,details,avatar_url,active_stake,active_stake_pct,commission,data_center_key,blocks,skipped,skip_rate,avg_compute_units,compute_units_p10,compute_units_p50,compute_units_p90,avg_txn,avg_vote,p50_included_votes,p90_included_votes,p99_included_votes,p999_included_votes,avg_user,avg_fee,fee_p10,fee_p50,fee_p90,avg_tips,tips_p10,tips_p50,tips_p90,rewards_p10,rewards_p50,rewards_p90,avg_reward,votes,missed_votes,avg_vote_latency,vote_latency_p90,vote_latency_p95,vote_latency_p99,lat1_vote_rate,low_latency_votes,lat2_vote_rate
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,Agave Jito,4.0.2,Helius,https://helius.dev,Crypto's #1 developer platform. Exclusively on Solana.,https://helius-docs.s3.us-east-2.amazonaws.com/orange360x360.png,15731803252554834,0.0368509451802531,0,399460-GB-City of London,220280,197,0.000894316324677683,33915047.297896706,20645442,29948962,58644565,1267.7232498648236,711.4123217149894,709,720,772,1012,556.3109281498344,19407865.229826927,5637801,11083908,27757183,3241598.246043538,275682,1370936,7355837,6485015,13403212,34106730,22649463.475870468,6062587,2911,1.0040957762750455,1,1,1,0.9970502009892674,6057615,0.9987003540352334
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Agave Rakurai,4.0.3,Figment,https://figment.io,,https://hosted-assets-container-pbmv.s3.ca-central-1.amazonaws.com/f.png,15534609587984993,0.0363890290981424,7,16276-CA-Beauharnois,214768,40,0.0001862474856589436,37358130.51416676,21834572,34518476,59949043,1330.767738720614,710.7850769345405,709,719,758,1017,619.9826617860735,19787783.304287285,6331228,12597450,30310515,11024523.400590517,715691,3392252,14783245,7984437,17141364,45037470,30812306.7048778,6065176,322,1.0039815827273602,1,1,1,0.9968635716308868,6061812,0.9993923005167918
JUPiTERrZqgf1jUyR7dSkhMx4Kn2qJyekWsg3LT1h4b,Agave Harmonic,4.1.0,Jupiter,https://jup.ag,,https://solana-validator-website-italo-casas.vercel.app/jupiter.png,12828886753813685,0.03005101162905072,5,20326-NL-Europe/Amsterdam,4384,1,0.0002281021897810219,44506779.54004107,27426087,43444958,59949043,1488.4713666438513,704.6226328998403,703,710,752,835,783.8487337440109,27177755.44102213,9295164,18310863,44234048,3107231.84257358,0,316476,6168737,10170530,20155850,47726884,30284987.28359571,1072486,2,1.0510365636474508,1,1,2,0.950455389710654,1071821,0.9993780816195612
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,Agave JitoBAM,4.1.0,binance staking,https://www.binance.com,,,12338059564213734,0.028901274020045973,0,14618-US-Ashburn,186832,228,0.0012203476920441894,32922063.49682215,20604192,29829406,52430835,1253.0537448286211,711.5184133244733,710,726,793,957,541.5353315041478,20273806.147172622,6022450,11816471,29238744,4931995.069291119,375121,1664448,8377037,7067411,14375055,36873560,25205801.21646374,6060513,4985,1.021564181118001,1,1,1,0.9952671652022635,6057541,0.9986881538828304
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Agave Rakurai,4.0.3,Ledger by Figment,https://www.ledger.com/staking,,https://s3.amazonaws.com/keybase_processed_uploads/3c47b62f3d28ecfd821536f69be82905_360_360.jpg,9182202014086799,0.02150883898196291,7,396356-DE-Frankfurt am Main,128112,35,0.0002731984513550643,29911918.897952013,17522653,26140730,52957774,1237.3979481093404,711.5413227980043,709,718,763,1073,525.8566253113362,18730625.34059979,5740200,11444329,28036147,8685933.329450253,331374,2065751,12724056,7053290,14931819,40265490,27416558.670050047,6062202,3296,1.0030525211795978,1,1,1,0.9975096851074718,6058773,0.9988912699336476
E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,Agave Jito,4.0.2,Bitwise Onchain Solutions,https://bitwiseinvestments.com,,http://bitwiseinvestments.com/bitwise-full-square.png,8082183594529965,0.018932102048148634,0,20326-US-America/Chicago,115588,22,0.0001903311762466692,33536311.02971462,20604192,29650965,57368473,1263.5764584739456,711.6079556270876,709,719,757,1010,551.9685028468581,19490824.47498399,5637801,11061763,27207554,2709384.8034716095,208356,708570,4588229,6280780,12522091,31046767,22200209.2784556,6065021,477,1.002593560681818,1,1,1,0.9980855652742776,6062346,0.9994803394544026
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Frankendancer Jito,0.911.40002,Everstake,https://everstake.one,"Everstake is the №1 staking infrastructure platform, trusted by retail and institutional clients worldwide. Committed to the highest standards of compliance, we deliver secure staking solutions across 130+ chains with a reliability rate of 99.98%.",https://everstake.one/logo.png,7571168857727554,0.017735076141461876,7,20326-DE-Frankfurt am Main,106648,107,0.0010033005776010802,35754909.63963169,21965973,31800903,59949043,1348.8016819815846,717.6473939610103,715,727,773,1082,631.1542880205742,21188365.597863737,6356603,12877665,31928362,4248228.93257056,512473,2242281,8930696,7595031,15950568,40265490,25436594.53043429,6064612,886,1.0035148167764072,1,1,1,0.9973491047231406,6061318,0.9993108562561556
CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,Agave Harmonic,4.0.3,Kraken 2,https://www.kraken.com/,Kraken Exchange validator,https://i.ibb.co/67MctPP6/kraken-logo.png,7033351205954878,0.0164752657761607,10,1072-US-America/Chicago,98508,49,0.0004974215292159012,35195966.00993307,21231683,32508276,57483325,1337.6312272113266,709.4526757330462,715,737,830,1337,628.1785514782803,26191386.838034105,6997089,14872211,37920610,3997404.674524422,337393,1390264,7282646,7952563,17175681,44234048,30188791.512558527,6065016,482,1.0066130081107785,1,1,1,0.9963111025673408,6057633,0.998703321639872
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,Frankendancer Jito,0.913.40003,Staking Facilities | MEV 🔥,https://stakingfacilities.com,"We invest in leading crypto networks & operate secure, performant, and highly available bare-metal infrastructure out of Germany.",https://media.stakingfacilities.com/SF_Icon_Wht_Blk_100px.png,6671210687012723,0.015626970116925418,0,9002-DE-Frankfurt am Main,95196,135,0.0014181268120509263,33259873.99159487,19756737,28774646,59829264,1259.9787294474074,716.6679079748793,715,727,771,1039,543.3108214725281,18985850.411388475,5515124,10951696,27536011,1908098.9450458128,186652,628445,3949125,6119584,12249613,31108923,20893949.35643429,6064996,502,1.0184722298250486,1,1,1,0.99543549433204,6052464,0.997851124507831
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,Firedancer Jito,0.1.1,,,,,6122616978039680,0.014341917388318848,100,20326-NL-Amsterdam,86848,25,0.00028785924834193074,34211181.75385555,20277148,29710326,59949043,1337.4954793084785,784.7480621494304,717,1005,1487,1850,552.7474171590477,18788477.802886333,5717285,11375869,28374608,2215124.256049664,190423,647584,4252445,6331228,12698634,32056331,21003602.058935996,6064722,776,1.0118392895832653,1,1,1,0.9916564146917533,6054835,0.9982420239854995
